Date,TR_Change,TR_Change,TR_Change,TR_Change,Weight,Weight,Weight,Weight,Portfolio_Index
Date,Asset_1,Asset_2,Asset_3,Asset_4,Asset_1,Asset_2,Asset_3,Asset_4,1
2001-03-01 00:00,,,,,0.391126085,0.37654386,0.135288804,0.097041251,100
2001-03-02 00:00,-0.004703278,-0.0062984,-0.004809619,-0.005835544,0.391126085,0.37654386,0.135288804,0.097041251,99.45864958
2001-03-05 00:00,0,-0.000103907,0.003624648,0.00604767,0.391126085,0.37654386,0.135288804,0.097041251,99.55798703
2001-03-06 00:00,0,0.001558765,0.015248796,0.010077793,0.391126085,0.37654386,0.135288804,0.097041251,99.91403361
2001-03-07 00:00,0.002918694,0.005706578,-0.001185771,0.006651497,0.391126085,0.37654386,0.135288804,0.097041251,100.2850279
2001-03-08 00:00,0.001385809,0.002372846,-0.000395726,0.002260476,0.391126085,0.37654386,0.135288804,0.097041251,100.439017
2001-03-09 00:00,-0.002214226,-0.002675998,-0.006334125,-0.024982651,0.391126085,0.37654386,0.135288804,0.097041251,99.91906277
2001-03-12 00:00,0.001386963,-0.001031992,-0.027888446,-0.042704626,0.391126085,0.37654386,0.135288804,0.097041251,99.14360865
2001-03-13 00:00,-0.001385042,-0.002066116,-0.024590164,0.014869888,0.391126085,0.37654386,0.135288804,0.097041251,98.80999048
2001-03-14 00:00,0.00554785,0.00310559,-0.016806723,-0.025641026,0.391126085,0.37654386,0.135288804,0.097041251,98.67766058
2001-03-15 00:00,0.002758621,0.003095975,0.012820513,0.005639098,0.391126085,0.37654386,0.135288804,0.097041251,99.1097565
2001-03-16 00:00,0.002751032,0.002057613,-0.025316456,-0.020560748,0.391126085,0.37654386,0.135288804,0.097041251,98.77256314
2001-03-19 00:00,-0.002743484,-0.002053388,-0.004329004,0.019083969,0.391126085,0.37654386,0.135288804,0.097041251,98.6959101
2001-03-20 00:00,0.002751032,0.00308642,0.013043478,-0.024344569,0.391126085,0.37654386,0.135288804,0.097041251,98.87380876
2001-03-21 00:00,0.001371742,0,-0.004291845,-0.017274472,0.391126085,0.37654386,0.135288804,0.097041251,98.71204324
2001-03-22 00:00,0.002739726,0,-0.043103448,-0.00390625,0.391126085,0.37654386,0.135288804,0.097041251,98.2246104
2001-03-23 00:00,-0.004098361,-0.002051282,0.031531532,0.019607843,0.391126085,0.37654386,0.135288804,0.097041251,98.54551444
2001-03-26 00:00,-0.001371742,-0.001027749,0.034934498,0.011538462,0.391126085,0.37654386,0.135288804,0.097041251,99.00680396
2001-03-27 00:00,-0.006868132,-0.00617284,0.012658228,0.024714829,0.391126085,0.37654386,0.135288804,0.097041251,98.8886477
2001-03-28 00:00,0.001383126,0.001035197,-0.0125,-0.024118738,0.391126085,0.37654386,0.135288804,0.097041251,98.59389211
2001-03-29 00:00,0.001381215,0.002068252,-0.012658228,-0.005703422,0.391126085,0.37654386,0.135288804,0.097041251,98.49937457
2001-03-30 00:00,0.002758621,0.003095975,-0.004273504,0.011472275,0.391126085,0.37654386,0.135288804,0.097041251,98.77130778
2001-04-02 00:00,-0.001375516,-0.001028807,-0.004291845,-0.013232514,0.391126085,0.37654386,0.135288804,0.097041251,98.49977833
2001-04-03 00:00,0.00137741,-0.001029866,-0.012931034,-0.03256705,0.391126085,0.37654386,0.135288804,0.097041251,98.06983071
2001-04-04 00:00,0.002751032,0.001030928,0.017467249,-0.003960396,0.391126085,0.37654386,0.135288804,0.097041251,98.40686248
2001-04-05 00:00,-0.002743484,-0.001029866,0.012875536,0.043737575,0.391126085,0.37654386,0.135288804,0.097041251,98.80172834
2001-04-06 00:00,0.005502063,0.004123711,0.004237288,-0.019047619,0.391126085,0.37654386,0.135288804,0.097041251,99.06652199
2001-04-09 00:00,-0.001367989,-0.002053388,0,0.00776699,0.391126085,0.37654386,0.135288804,0.097041251,99.00714141
2001-04-10 00:00,-0.006849315,-0.007201646,0.004219409,0.026974952,0.391126085,0.37654386,0.135288804,0.097041251,98.74827842
2001-04-11 00:00,-0.002758621,0,0.004201681,-0.001876173,0.391126085,0.37654386,0.135288804,0.097041251,98.67662866
2001-04-12 00:00,-0.002766252,-0.002072539,0.012552301,0.015037594,0.391126085,0.37654386,0.135288804,0.097041251,98.7897636
2001-04-16 00:00,-0.00554785,-0.007268951,-0.012396694,-0.003703704,0.391126085,0.37654386,0.135288804,0.097041251,98.08884513
2001-04-17 00:00,0.005578801,0.0041841,-0.0041841,0.011152416,0.391126085,0.37654386,0.135288804,0.097041251,98.50751952
2001-04-18 00:00,0.004160888,0.007291667,0.021008403,0.038602941,0.391126085,0.37654386,0.135288804,0.097041251,99.58656962
2001-04-19 00:00,-0.006906077,-0.005170631,0.016460905,0.012389381,0.391126085,0.37654386,0.135288804,0.097041251,99.46093509
2001-04-20 00:00,0,0,0,-0.008741259,0.391126085,0.37654386,0.135288804,0.097041251,99.37153756
2001-04-23 00:00,0.005563282,0.003118503,-0.008097166,-0.014109347,0.391126085,0.37654386,0.135288804,0.097041251,99.45781805
2001-04-24 00:00,-0.001383126,0,0,-0.012522361,0.391126085,0.37654386,0.135288804,0.097041251,99.28009559
2001-04-25 00:00,-0.002770083,0,0.004081633,0.016304348,0.391126085,0.37654386,0.135288804,0.097041251,99.38490482
2001-04-26 00:00,0.004166667,0.007253886,0.008130081,0.003565062,0.391126085,0.37654386,0.135288804,0.097041251,99.96755798
2001-04-27 00:00,-0.008298755,-0.005144033,0.004032258,0.01598579,0.391126085,0.37654386,0.135288804,0.097041251,99.65335874
